+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |        street        |                                                                                                       description                                                                                                        |
| 45  | 2023 | 1     | 27  | Fifer Street         | Money laundering took place at 19:53. One person witnessed the incident.                                                                                                                                                 |
| 46  | 2023 | 1     | 27  | Axmark Road          | Forgery took place at 05:50. One person witnessed the incident.                                                                                                                                                          |
| 47  | 2023 | 1     | 28  | Widenius Street      | Bank robbery took place at 09:43. One person witnessed the incident.                                                                                                                                                     |
| 48  | 2023 | 1     | 28  | Blumberg Boulevard   | Bank robbery took place at 09:13. No known witnesses.                                                                                                                                                                    |
| 49  | 2023 | 2     | 1   | Zlatkova Street      | Theft took place at 03:25. No known witnesses.                                                                                                                                                                           |
| 50  | 2023 | 2     | 1   | Carreiro Avenue      | Money laundering took place at 15:48. One person witnessed the incident.                                                                                                                                                 |
| 51  | 2023 | 2     | 2   | Hipp Boulevard       | Insider trading took place at 08:46. Two people witnessed the event.                                                                                                                                                     |
| 52  | 2023 | 2     | 4   | Chamberlin Street    | Wire fraud took place at 23:32. One person witnessed the incident.                                                                                                                                                       |
| 53  | 2023 | 2     | 4   | Fifer Street         | Vandalism took place at 07:57. One person witnessed the incident.                                                                                                                                                        |
| 54  | 2023 | 2     | 4   | Lloyd Lane           | Credit card fraud took place at 07:43. One person witnessed the incident.                                                                                                                                                |
| 55  | 2023 | 2     | 4   | Daboin Sanchez Drive | Expired parking meter took place at 02:26. Two people witnessed the event.                                                                                                                                               |
| 56  | 2023 | 2     | 4   | MacWilliam Road      | Money laundering took place at 23:18. No known witnesses.                                                                                                                                                                |
| 57  | 2023 | 2     | 5   | Zlatkova Street      | Jaywalking took place at 21:43. One person witnessed the incident.                                                                                                                                                       |
| 58  | 2023 | 2     | 5   | Axmark Road          | Expired parking meter took place at 03:21. One person witnessed the incident.                                                                                                                                            |
| 59  | 2023 | 2     | 6   | Bowden Boulevard     | Littering took place at 20:58. No known witnesses.                                                                                                                                                                       |
| 60  | 2023 | 2     | 6   | Yamashita Avenue     | Forgery took place at 12:24. One person witnessed the incident.                                                                                                                                                          |
| 61  | 2023 | 2     | 7   | Larsson Lane         | Expired parking meter took place at 06:30. No known witnesses.                                                                                                                                                           |
| 62  | 2023 | 2     | 8   | Hipp Boulevard       | Insider trading took place at 05:43. Two people witnessed the event.                                                                                                                                                     |
| 63  | 2023 | 2     | 8   | Codd Street          | Littering took place at 05:09. One person witnessed the incident.                                                                                                                                                        |
| 64  | 2023 | 2     | 9   | Widenius Street      | Vandalism took place at 18:19. No known witnesses.                                                                                                                                                                       |
| 65  | 2023 | 2     | 11  | Larsson Lane         | Insider trading took place at 13:14. No known witnesses.                                                                                                                                                                 |
| 66  | 2023 | 2     | 12  | Blumberg Boulevard   | Vandalism took place at 18:15. Two people witnessed the event.                                                                                                                                                           |
| 67  | 2023 | 2     | 14  | Axmark Road          | Money laundering took place at 12:35. One person witnessed the incident.                                                                                                                                                 |
| 68  | 2023 | 2     | 15  | Guimaraes Drive      | Bank robbery took place at 08:49. Two people witnessed the event.                                                                                                                                                        |
| 69  | 2023 | 2     | 16  | Blumberg Boulevard   | Bank robbery took place at 21:41. No known witnesses.                                                                                                                                                                    |
| 70  | 2023 | 2     | 17  | Hipp Boulevard       | Shoplifting took place at 10:27. Two people witnessed the event.                                                                                                                                                         |
| 71  | 2023 | 2     | 19  | Stonebraker Road     | Theft took place at 11:54. Two people witnessed the event.                                                                                                                                                               |
| 72  | 2023 | 2     | 19  | Fifer Street         | Jaywalking took place at 01:40. Two people witnessed the event.                                                                                                                                                          |
| 73  | 2023 | 2     | 20  | Codd Street          | Wire fraud took place at 04:55. No known witnesses.                                                                                                                                                                      |
| 74  | 2023 | 2     | 20  | Boyce Avenue         | Wire fraud took place at 18:37. No known witnesses.                                                                                                                                                                      |
| 75  | 2023 | 2     | 22  | Guimaraes Drive      | Credit card fraud took place at 01:32. Two people witnessed the event.                                                                                                                                                   |
| 76  | 2023 | 2     | 22  | Humphrey Lane        | Shoplifting took place at 06:11. Two people witnessed the event.                                                                                                                                                         |
| 77  | 2023 | 2     | 22  | Daboin Sanchez Drive | Credit card fraud took place at 12:26. No known witnesses.                                                                                                                                                               |
| 78  | 2023 | 2     | 25  | Aydede Lane          | Burglary took place at 13:08. Two people witnessed the event.                                                                                                                                                            |
| 79  | 2023 | 2     | 25  | Stonebraker Road     | Bank robbery took place at 04:05. One person witnessed the incident.                                                                                                                                                     |
| 80  | 2023 | 2     | 26  | Humphrey Street      | Theft took place at 03:11. Two people witnessed the event.                                                                                                                                                               |
| 81  | 2023 | 2     | 26  | Daboin Sanchez Drive | Insider trading took place at 14:06. One person witnessed the incident.                                                                                                                                                  |
| 82  | 2023 | 2     | 27  | Carreiro Avenue      | Money laundering took place at 17:54. Two people witnessed the event.                                                                                                                                                    |
| 83  | 2023 | 2     | 28  | Larsson Lane         | Reckless driving took place at 22:02. No known witnesses.                                                                                                                                                                |
| 84  | 2023 | 2     | 28  | Daboin Sanchez Drive | Forgery took place at 21:34. One person witnessed the incident.                                                                                                                                                          |
| 85  | 2023 | 2     | 28  | Carreiro Avenue      | Wire fraud took place at 01:22. No known witnesses.                                                                                                                                                                      |
| 86  | 2023 | 3     | 1   | Guimaraes Drive      | Insider trading took place at 17:19. One person witnessed the incident.                                                                                                                                                  |
| 87  | 2023 | 3     | 2   | Bowden Boulevard     | Littering took place at 07:40. One person witnessed the incident.                                                                                                                                                        |
| 88  | 2023 | 3     | 2   | Hipp Boulevard       | Credit card fraud took place at 22:11. No known witnesses.                                                                                                                                                               |
| 89  | 2023 | 3     | 4   | Widenius Street      | Reckless driving took place at 21:04. No known witnesses.                                                                                                                                                                |
| 90  | 2023 | 3     | 4   | Chamberlin Street    | Wire fraud took place at 11:48. Two people witnessed the event.                                                                                                                                                          |
| 91  | 2023 | 3     | 5   | Bowden Boulevard     | Bank robbery took place at 07:46. One person witnessed the incident.                                                                                                                                                     |
| 92  | 2023 | 3     | 5   | Stonebraker Road     | Forgery took place at 21:10. No known witnesses.                                                                                                                                                                         |
| 93  | 2023 | 3     | 5   | Chartier Road        | Jaywalking took place at 08:07. One person witnessed the incident.                                                                                                                                                       |
| 94  | 2023 | 3     | 5   | Zlatkova Street      | Forgery took place at 06:31. Two people witnessed the event.                                                                                                                                                             |
| 95  | 2023 | 3     | 8   | Aydede Lane          | Burglary took place at 20:14. Two people witnessed the event.                                                                                                                                                            |
| 96  | 2023 | 3     | 8   | Fifer Street         | Burglary took place at 23:15. No known witnesses.                                                                                                                                                                        |
| 97  | 2023 | 3     | 10  | Bowden Boulevard     | Theft took place at 14:39. No known witnesses.                                                                                                                                                                           |
| 98  | 2023 | 3     | 10  | Chamberlin Street    | Littering took place at 16:46. Two people witnessed the event.                                                                                                                                                           |
| 99  | 2023 | 3     | 11  | MacWilliam Road      | Jaywalking took place at 11:51. Two people witnessed the event.                                                                                                                                                          |
| 100 | 2023 | 3     | 11  | Hipp Boulevard       | Vandalism took place at 14:47. One person witnessed the incident.                                                                                                                                                        |
| 101 | 2023 | 3     | 12  | Yamashita Avenue     | Theft took place at 18:55. One person witnessed the incident.                                                                                                                                                            |
| 102 | 2023 | 3     | 13  | Axmark Road          | Theft took place at 09:36. Two people witnessed the event.                                                                                                                                                               |
| 103 | 2023 | 3     | 14  | Stonebraker Road     | Wire fraud took place at 15:08. No known witnesses.                                                                                                                                                                      |
| 104 | 2023 | 3     | 15  | Chamberlin Street    | Bank robbery took place at 12:38. One person witnessed the incident.                                                                                                                                                     |
| 105 | 2023 | 3     | 16  | Zlatkova Street      | Insider trading took place at 23:10. Two people witnessed the event.                                                                                                                                                     |
| 106 | 2023 | 3     | 16  | Carvalho Road        | Jaywalking took place at 20:07. Two people witnessed the event.                                                                                                                                                          |
| 107 | 2023 | 3     | 16  | Lloyd Lane           | Jaywalking took place at 01:49. Two people witnessed the event.                                                                                                                                                          |
| 108 | 2023 | 3     | 17  | Codd Street          | Bank robbery took place at 22:39. One person witnessed the incident.                                                                                                                                                     |
| 109 | 2023 | 3     | 18  | Hipp Boulevard       | Jaywalking took place at 09:21. Two people witnessed the event.                                                                                                                                                          |
| 110 | 2023 | 3     | 18  | Widenius Street      | Littering took place at 02:17. No known witnesses.                                                                                                                                                                       |
| 111 | 2023 | 3     | 20  | MacWilliam Road      | Credit card fraud took place at 23:37. One person witnessed the incident.                                                                                                                                                |
| 112 | 2023 | 3     | 20  | Carreiro Avenue      | Vandalism took place at 08:39. No known witnesses.                                                                                                                                                                       |
| 113 | 2023 | 3     | 20  | Humphrey Street      | Credit card fraud took place at 08:41. One person witnessed the incident.                                                                                                                                                |
| 114 | 2023 | 3     | 21  | Humphrey Lane        | Theft took place at 12:14. No known witnesses.                                                                                                                                                                           |
| 115 | 2023 | 3     | 22  | Guimaraes Drive      | Expired parking meter took place at 22:17. No known witnesses.                                                                                                                                                           |
| 116 | 2023 | 3     | 23  | Chartier Road        | Money laundering took place at 13:05. No known witnesses.                                                                                                                                                                |
| 117 | 2023 | 3     | 23  | Stonebraker Road     | Littering took place at 05:09. One person witnessed the incident.                                                                                                                                                        |
| 118 | 2023 | 3     | 24  | Larsson Lane         | Burglary took place at 02:13. No known witnesses.                                                                                                                                                                        |
| 119 | 2023 | 3     | 24  | Blumberg Boulevard   | Jaywalking took place at 13:18. No known witnesses.                                                                                                                                                                      |
| 120 | 2023 | 3     | 25  | Chamberlin Street    | Burglary took place at 07:21. One person witnessed the incident.                                                                                                                                                         |
| 121 | 2023 | 3     | 25  | Carreiro Avenue      | Theft took place at 23:17. No known witnesses.                                                                                                                                                                           |
| 122 | 2023 | 3     | 27  | Yamashita Avenue     | Burglary took place at 09:25. No known witnesses.                                                                                                                                                                        |
| 123 | 2023 | 3     | 28  | Widenius Street      | Burglary took place at 09:19. No known witnesses.                                                                                                                                                                        |
| 124 | 2023 | 4     | 1   | Boyce Avenue         | Theft took place at 01:06. No known witnesses.                                                                                                                                                                           |
| 125 | 2023 | 4     | 2   | Yamashita Avenue     | Credit card fraud took place at 08:24. One person witnessed the incident.                                                                                                                                                |
| 126 | 2023 | 4     | 3   | Chartier Road        | Jaywalking took place at 03:54. No known witnesses.                                                                                                                                                                      |
| 127 | 2023 | 4     | 3   | Chamberlin Street    | Money laundering took place at 10:24. Two people witnessed the event.                                                                                                                                                    |
| 128 | 2023 | 4     | 4   | Humphrey Street      | Expired parking meter took place at 03:17. Two people witnessed the event.                                                                                                                                               |
| 129 | 2023 | 4     | 4   | Codd Street          | Vandalism took place at 21:22. One person witnessed the incident.                                                                                                                                                        |
| 130 | 2023 | 4     | 6   | Guimaraes Drive      | Vandalism took place at 11:49. No known witnesses.                                                                                                                                                                       |
| 131 | 2023 | 4     | 12  | Larsson Lane         | Burglary took place at 08:27. Two people witnessed the event.                                                                                                                                                            |
| 132 | 2023 | 4     | 12  | Stonebraker Road     | Credit card fraud took place at 18:03. Two people witnessed the event.                                                                                                                                                   |
| 133 | 2023 | 4     | 13  | Hipp Boulevard       | Insider trading took place at 01:41. One person witnessed the incident.                                                                                                                                                  |
| 134 | 2023 | 4     | 13  | Aydede Lane          | Insider trading took place at 04:28. Two people witnessed the event.                                                                                                                                                     |
| 135 | 2023 | 4     | 14  | Codd Street          | Money laundering took place at 02:27. Two people witnessed the event.                                                                                                                                                    |
| 136 | 2023 | 4     | 14  | Guimaraes Drive      | Littering took place at 21:47. Two people witnessed the event.                                                                                                                                                           |
| 137 | 2023 | 4     | 17  | Axmark Road          | Insider trading took place at 12:58. No known witnesses.                                                                                                                                                                 |
| 138 | 2023 | 4     | 19  | Daboin Sanchez Drive | Expired parking meter took place at 13:25. One person witnessed the incident.                                                                                                                                            |
| 139 | 2023 | 4     | 20  | Lloyd Lane           | Expired parking meter took place at 11:05. One person witnessed the incident.                                                                                                                                            |
| 140 | 2023 | 4     | 20  | Widenius Street      | Burglary took place at 10:14. No known witnesses.                                                                                                                                                                        |
| 141 | 2023 | 4     | 21  | Blumberg Boulevard   | Forgery took place at 04:54. One person witnessed the incident.                                                                                                                                                          |
| 142 | 2023 | 4     | 22  | Hipp Boulevard       | Reckless driving took place at 15:51. One person witnessed the incident.                                                                                                                                                 |
| 143 | 2023 | 4     | 24  | Fifer Street         | Bank robbery took place at 07:40. One person witnessed the incident.                                                                                                                                                     |
| 144 | 2023 | 4     | 24  | Guimaraes Drive      | Bank robbery took place at 00:13. Two people witnessed the event.                                                                                                                                                        |
| 145 | 2023 | 4     | 26  | Carvalho Road        | Reckless driving took place at 15:56. Two people witnessed the event.                                                                                                                                                    |
| 146 | 2023 | 4     | 27  | Daboin Sanchez Drive | Bank robbery took place at 17:43. One person witnessed the incident.                                                                                                                                                     |
| 147 | 2023 | 4     | 27  | Codd Street          | Insider trading took place at 23:06. No known witnesses.                                                                                                                                                                 |
| 148 | 2023 | 4     | 27  | Chartier Road        | Shoplifting took place at 16:40. No known witnesses.                                                                                                                                                                     |
| 149 | 2023 | 4     | 28  | Zlatkova Street      | Forgery took place at 08:13. One person witnessed the incident.                                                                                                                                                          |
| 150 | 2023 | 5     | 1   | Fifer Street         | Jaywalking took place at 23:21. One person witnessed the incident.                                                                                                                                                       |
| 151 | 2023 | 5     | 1   | Yamashita Avenue     | Reckless driving took place at 03:03. No known witnesses.                                                                                                                                                                |
| 152 | 2023 | 5     | 1   | Stonebraker Road     | Shoplifting took place at 04:38. Two people witnessed the event.                                                                                                                                                         |
| 153 | 2023 | 5     | 2   | Hipp Boulevard       | Expired parking meter took place at 06:13. No known witnesses.                                                                                                                                                           |
| 154 | 2023 | 5     | 3   | Carreiro Avenue      | Expired parking meter took place at 01:42. No known witnesses.                                                                                                                                                           |
| 155 | 2023 | 5     | 3   | Carvalho Road        | Theft took place at 06:38. Two people witnessed the event.                                                                                                                                                               |
| 156 | 2023 | 5     | 5   | Hipp Boulevard       | Reckless driving took place at 20:00. No known witnesses.                                                                                                                                                                |
| 157 | 2023 | 5     | 6   | Chamberlin Street    | Jaywalking took place at 06:52. Two people witnessed the event.                                                                                                                                                          |
| 158 | 2023 | 5     | 7   | Axmark Road          | Credit card fraud took place at 05:46. No known witnesses.                                                                                                                                                               |
| 159 | 2023 | 5     | 8   | Guimaraes Drive      | Vandalism took place at 13:08. No known witnesses.                                                                                                                                                                       |
| 160 | 2023 | 5     | 9   | Guimaraes Drive      | Littering took place at 15:40. No known witnesses.                                                                                                                                                                       |
| 161 | 2023 | 5     | 9   | Carreiro Avenue      | Expired parking meter took place at 08:03. No known witnesses.                                                                                                                                                           |
| 162 | 2023 | 5     | 10  | Chamberlin Street    | Vandalism took place at 12:37. One person witnessed the incident.                                                                                                                                                        |
| 163 | 2023 | 5     | 10  | Widenius Street      | Money laundering took place at 18:24. No known witnesses.                                                                                                                                                                |
| 164 | 2023 | 5     | 11  | Stonebraker Road     | Reckless driving took place at 05:43. One person witnessed the incident.                                                                                                                                                 |
| 165 | 2023 | 5     | 12  | Blumberg Boulevard   | Shoplifting took place at 04:15. No known witnesses.                                                                                                                                                                     |
| 166 | 2023 | 5     | 13  | Carvalho Road        | Reckless driving took place at 11:29. One person witnessed the incident.                                                                                                                                                 |
| 167 | 2023 | 5     | 13  | Lloyd Lane           | Reckless driving took place at 07:46. Two people witnessed the event.                                                                                                                                                    |
| 168 | 2023 | 5     | 14  | Codd Street          | Credit card fraud took place at 21:14. Two people witnessed the event.                                                                                                                                                   |
| 169 | 2023 | 5     | 14  | Stonebraker Road     | Jaywalking took place at 21:07. No known witnesses.                                                                                                                                                                      |
| 170 | 2023 | 5     | 16  | Codd Street          | Forgery took place at 15:22. One person witnessed the incident.                                                                                                                                                          |
| 171 | 2023 | 5     | 16  | Aydede Lane          | Expired parking meter took place at 12:04. Two people witnessed the event.                                                                                                                                               |
| 172 | 2023 | 5     | 17  | Stonebraker Road     | Insider trading took place at 01:40. No known witnesses.                                                                                                                                                                 |
| 173 | 2023 | 5     | 17  | Boyce Avenue         | Jaywalking took place at 08:03. Two people witnessed the event.                                                                                                                                                          |
| 174 | 2023 | 5     | 17  | Boyce Avenue         | Vandalism took place at 15:17. Two people witnessed the event.                                                                                                                                                           |
| 175 | 2023 | 5     | 19  | MacWilliam Road      | Wire fraud took place at 13:56. One person witnessed the incident.                                                                                                                                                       |
| 176 | 2023 | 5     | 20  | Chartier Road        | Credit card fraud took place at 07:59. Two people witnessed the event.                                                                                                                                                   |
| 177 | 2023 | 5     | 20  | Lloyd Lane           | Insider trading took place at 06:41. One person witnessed the incident.                                                                                                                                                  |
| 178 | 2023 | 5     | 21  | Humphrey Lane        | Shoplifting took place at 17:39. Two people witnessed the event.                                                                                                                                                         |
| 179 | 2023 | 5     | 22  | Guimaraes Drive      | Jaywalking took place at 09:14. One person witnessed the incident.                                                                                                                                                       |
| 180 | 2023 | 5     | 22  | Chartier Road        | Burglary took place at 01:54. Two people witnessed the event.                                                                                                                                                            |
| 181 | 2023 | 5     | 22  | Humphrey Lane        | Bank robbery took place at 18:53. Two people witnessed the event.                                                                                                                                                        |
| 182 | 2023 | 5     | 23  | Hipp Boulevard       | Theft took place at 10:46. One person witnessed the incident.                                                                                                                                                            |
| 183 | 2023 | 5     | 24  | Boyce Avenue         | Littering took place at 11:32. One person witnessed the incident.                                                                                                                                                        |
| 184 | 2023 | 5     | 24  | Larsson Lane         | Burglary took place at 19:01. No known witnesses.                                                                                                                                                                        |
| 185 | 2023 | 5     | 27  | MacWilliam Road      | Shoplifting took place at 06:55. Two people witnessed the event.                                                                                                                                                         |
| 186 | 2023 | 5     | 27  | Chamberlin Street    | Insider trading took place at 14:36. One person witnessed the incident.                                                                                                                                                  |
| 187 | 2023 | 5     | 28  | MacWilliam Road      | Theft took place at 23:50. No known witnesses.                                                                                                                                                                           |
| 188 | 2023 | 5     | 28  | Carvalho Road        | Theft took place at 22:40. One person witnessed the incident.                                                                                                                                                            |
| 189 | 2023 | 5     | 28  | Widenius Street      | Theft took place at 10:02. No known witnesses.                                                                                                                                                                           |
| 190 | 2023 | 6     | 1   | Guimaraes Drive      | Littering took place at 13:27. Two people witnessed the event.                                                                                                                                                           |
| 191 | 2023 | 6     | 1   | Yamashita Avenue     | Wire fraud took place at 17:10. One person witnessed the incident.                                                                                                                                                       |
| 192 | 2023 | 6     | 1   | Aydede Lane          | Theft took place at 15:04. One person witnessed the incident.                                                                                                                                                            |
| 193 | 2023 | 6     | 1   | Axmark Road          | Vandalism took place at 20:09. No known witnesses.                                                                                                                                                                       |
| 194 | 2023 | 6     | 1   | Zlatkova Street      | Money laundering took place at 06:41. One person witnessed the incident.                                                                                                                                                 |
| 195 | 2023 | 6     | 2   | Aydede Lane          | Reckless driving took place at 14:28. No known witnesses.                                                                                                                                                                |
| 196 | 2023 | 6     | 4   | Daboin Sanchez Drive | Burglary took place at 20:26. No known witnesses.                                                                                                                                                                        |
| 197 | 2023 | 6     | 5   | Carvalho Road        | Reckless driving took place at 07:33. One person witnessed the incident.                                                                                                                                                 |
| 198 | 2023 | 6     | 5   | Zlatkova Street      | Insider trading took place at 02:14. Two people witnessed the event.                                                                                                                                                     |
| 199 | 2023 | 6     | 5   | MacWilliam Road      | Littering took place at 05:40. No known witnesses.                                                                                                                                                                       |
| 200 | 2023 | 6     | 5   | Larsson Lane         | Reckless driving took place at 23:18. No known witnesses.                                                                                                                                                                |
| 201 | 2023 | 6     | 6   | Yamashita Avenue     | Burglary took place at 01:31. No known witnesses.                                                                                                                                                                        |
| 202 | 2023 | 6     | 8   | Widenius Street      | Forgery took place at 07:27. No known witnesses.                                                                                                                                                                         |
| 203 | 2023 | 6     | 8   | MacWilliam Road      | Insider trading took place at 00:18. Two people witnessed the event.                                                                                                                                                     |
| 204 | 2023 | 6     | 8   | Chamberlin Street    | Jaywalking took place at 01:39. Two people witnessed the event.                                                                                                                                                          |
| 205 | 2023 | 6     | 9   | Codd Street          | Vandalism took place at 08:25. One person witnessed the incident.                                                                                                                                                        |
| 206 | 2023 | 6     | 11  | MacWilliam Road      | Shoplifting took place at 01:48. One person witnessed the incident.                                                                                                                                                      |
| 207 | 2023 | 6     | 11  | MacWilliam Road      | Littering took place at 18:16. Two people witnessed the event.                                                                                                                                                           |
| 208 | 2023 | 6     | 12  | Yamashita Avenue     | Reckless driving took place at 18:32. No known witnesses.                                                                                                                                                                |
| 209 | 2023 | 6     | 12  | Blumberg Boulevard   | Credit card fraud took place at 04:31. No known witnesses.                                                                                                                                                               |
| 210 | 2023 | 6     | 13  | Blumberg Boulevard   | Reckless driving took place at 09:34. One person witnessed the incident.                                                                                                                                                 |
| 211 | 2023 | 6     | 13  | Yamashita Avenue     | Reckless driving took place at 09:00. No known witnesses.                                                                                                                                                                |
| 212 | 2023 | 6     | 14  | Larsson Lane         | Credit card fraud took place at 14:17. Two people witnessed the event.                                                                                                                                                   |
| 213 | 2023 | 6     | 14  | Carreiro Avenue      | Shoplifting took place at 17:05. Two people witnessed the event.                                                                                                                                                         |
| 214 | 2023 | 6     | 16  | Hipp Boulevard       | Littering took place at 18:33. Two people witnessed the event.                                                                                                                                                           |
| 215 | 2023 | 6     | 16  | Bowden Boulevard     | Jaywalking took place at 14:08. Two people witnessed the event.                                                                                                                                                          |
| 216 | 2023 | 6     | 16  | Blumberg Boulevard   | Credit card fraud took place at 16:09. Two people witnessed the event.                                                                                                                                                   |
| 217 | 2023 | 6     | 18  | Larsson Lane         | Shoplifting took place at 03:02. One person witnessed the incident.                                                                                                                                                      |
| 218 | 2023 | 6     | 18  | Aydede Lane          | Expired parking meter took place at 14:03. No known witnesses.                                                                                                                                                           |
| 219 | 2023 | 6     | 19  | Fifer Street         | Wire fraud took place at 02:57. No known witnesses.                                                                                                                                                                      |
| 220 | 2023 | 6     | 19  | Fifer Street         | Forgery took place at 09:37. No known witnesses.                                                                                                                                                                         |
| 221 | 2023 | 6     | 20  | Boyce Avenue         | Vandalism took place at 22:08. Two people witnessed the event.                                                                                                                                                           |
